SST_table_2,cdom443_BL1_3,MLD_table_2,DOC_in_situ,DOC_estimated
21.869999511167396,0.0031756999999999,27.482152314081,60.7,71.13905
26.249999413266806,0.0067656,19.5494364821398,62.8,76.061554
25.6199994273484,0.0037645,58.12686752799271,76.13,76.096596
22.1399995051324,0.00326241,50.4617094274146,66.89,70.76362
16.349999634549,0.0281272999999999,55.525770166532794,76.4088,67.86764
21.1899995263666,0.00523667,64.97644427816671,74.91,68.79913
26.689999403432,0.00249338,36.7675352214459,74.85,74.43679
2.77999993786216,0.00434402,89.25822523350479,45.97,36.891415
26.689999403432,0.00179627,53.324681885194906,73.14,79.06918
21.349999522790306,0.00287324,42.1574264018516,73.98,68.03262
27.7899993788451,0.00904162,14.1219820863713,79.92114000000002,78.9336
27.299999389797396,0.00148836,39.0238909181293,75.69,76.19554
23.099999483674804,0.00169694,10.4564448733037,68.38,67.61975
28.3399993665516,0.00189041,49.87289062145639,72.73,78.301636
24.3999994546175,0.00578974,42.8454556339645,67.02,73.34897
22.8499994892627,0.0025373,46.131468079219,51.92,71.72679
19.1599995717406,0.00453341,76.4349812131825,68.62,65.001564
19.0599995739758,0.00235501,24.3361751881325,61.0,65.157
26.0099994186312,0.00155724,21.7588679294755,67.0,71.30859
20.8099995348603,0.0018399999999999,62.979819492571295,66.4,70.76848
21.7399995140731,0.0114028,26.6307918140239,72.5,71.220276
19.179999571293603,0.00627502,53.11708258406429,60.5854,67.34813
28.3999993652105,0.00654578,28.6892409845471,58.39,71.474686
19.6199995614588,0.0081852,17.8753022039601,62.4976,65.33293
24.649999449029607,0.00250949,15.1785166199104,68.9,70.42031
23.9899994637817,0.0038010999999999,26.214342171838,66.76,72.54841
29.7099993359298,0.000786622,37.846533873974295,72.41,73.79862
26.8299994003028,0.00126826,16.2326656498065,74.0,70.85367
29.839999333024,0.000739276,34.4918548804214,74.74,72.76932
19.9199995547533,0.00655322,18.868567743427,61.9805,66.32372
26.959999397397,0.0036139,39.0238909181293,77.64,73.32862
22.2499995026737,0.0038891999999999,20.4601999882154,65.9,69.528046
20.409999543801,0.0030524,49.96121239606399,67.5,67.82257
8.619999807327991,0.0242788,18.7469576861512,66.87,56.96443
24.6699994485825,0.00390663,42.397786790370496,66.71,75.07457
19.659999560564803,0.00383056,23.317012949310197,60.7,67.28759
24.679999448359,0.00447163,38.4279391938504,66.46,74.06161
1.5499999653548,0.0155168999999999,52.9296951075725,56.54,56.057617
21.759999513626106,0.00295339,11.365354940552402,68.5,67.07318
28.3699993658811,0.00357016,36.4554269883307,72.25,71.671646
